Entity,Code,Year,Global average temperature anomaly relative to 1961-1990,Upper bound of the annual temperature anomaly (95% confidence interval),Lower bound of the annual temperature anomaly (95% confidence interval)
Southern hemisphere,,1949,-0.22009224,-0.04555698,-0.39462748
Southern hemisphere,,1950,-0.26235095,-0.08779872,-0.43690315
Southern hemisphere,,1951,-0.1761571,-0.020434303,-0.3318799
Southern hemisphere,,1952,-0.039108276,0.13021699,-0.20843354
Southern hemisphere,,1953,-0.051317606,0.11560964,-0.21824485
Southern hemisphere,,1954,-0.2023827,-0.04556144,-0.35920396
Southern hemisphere,,1955,-0.26903242,-0.1220899,-0.41597497
Southern hemisphere,,1956,-0.24720186,-0.1301448,-0.36425892
Southern hemisphere,,1957,-0.034902032,0.06173118,-0.13153525
Southern hemisphere,,1958,-0.11796081,-0.0134297,-0.22249192
Southern hemisphere,,1959,-0.14308532,-0.041717935,-0.24445271
Southern hemisphere,,1960,-0.23131566,-0.13707642,-0.3255549
Southern hemisphere,,1961,-0.033268794,0.051296458,-0.11783405
Southern hemisphere,,1962,-0.17629111,-0.08566393,-0.2669183
Southern hemisphere,,1963,-0.14398544,-0.054717455,-0.23325342
Southern hemisphere,,1964,-0.35072103,-0.28065896,-0.4207831
Southern hemisphere,,1965,-0.21370828,-0.13510972,-0.29230684
Southern hemisphere,,1966,-0.20883523,-0.13286027,-0.2848102
Southern hemisphere,,1967,-0.1959459,-0.12507641,-0.2668154
Southern hemisphere,,1968,-0.19805685,-0.12168662,-0.27442706
Southern hemisphere,,1969,0.03756559,0.1038032,-0.028672025
Southern hemisphere,,1970,-0.047628343,0.02497096,-0.12022764
Southern hemisphere,,1971,-0.18281513,-0.117189914,-0.24844036
Southern hemisphere,,1972,0.06230069,0.12944053,-0.0048391577
Southern hemisphere,,1973,0.07829897,0.14373682,0.012861109
Southern hemisphere,,1974,-0.09541981,-0.030732926,-0.16010669
Southern hemisphere,,1975,-0.11062622,-0.03929524,-0.1819572
Southern hemisphere,,1976,-0.17981118,-0.10710179,-0.2525206
Southern hemisphere,,1977,0.1272066,0.20097259,0.05344062
Southern hemisphere,,1978,0.022408491,0.091715746,-0.046898764
Southern hemisphere,,1979,0.15063521,0.19751163,0.10375881
Southern hemisphere,,1980,0.25283712,0.3084503,0.19722392
Southern hemisphere,,1981,0.16006088,0.21204838,0.108073376
Southern hemisphere,,1982,0.07841474,0.14609884,0.010730626
Southern hemisphere,,1983,0.25540602,0.31687346,0.19393861
Southern hemisphere,,1984,0.12560876,0.18746373,0.063753776
Southern hemisphere,,1985,0.15148632,0.20869127,0.094281375
Southern hemisphere,,1986,0.12935646,0.18132995,0.07738296
Southern hemisphere,,1987,0.29033786,0.34021702,0.2404587
Southern hemisphere,,1988,0.24864225,0.30697817,0.19030634
Southern hemisphere,,1989,0.14113335,0.19941223,0.08285449
Southern hemisphere,,1990,0.25717783,0.31858394,0.19577174
Southern hemisphere,,1991,0.2926021,0.35092413,0.23428003
Southern hemisphere,,1992,0.15288447,0.20905843,0.09671051
Southern hemisphere,,1993,0.1389695,0.20319623,0.07474278
Southern hemisphere,,1994,0.14387386,0.20256445,0.08518326
Southern hemisphere,,1995,0.18509625,0.23983856,0.13035396
Southern hemisphere,,1996,0.26163,0.31693095,0.20632902
Southern hemisphere,,1997,0.3098965,0.36196178,0.25783122
Southern hemisphere,,1998,0.44039223,0.49580693,0.38497755
Southern hemisphere,,1999,0.1726068,0.22403874,0.12117485
Southern hemisphere,,2000,0.17509349,0.22882348,0.12136348
Southern hemisphere,,2001,0.35031772,0.4031083,0.29752716
Southern hemisphere,,2002,0.41821876,0.46825367,0.36818385
Southern hemisphere,,2003,0.36786872,0.42266506,0.31307235
Southern hemisphere,,2004,0.3012516,0.3540152,0.248488
Southern hemisphere,,2005,0.38232562,0.4282721,0.33637917
Southern hemisphere,,2006,0.3503445,0.39779714,0.30289188
Southern hemisphere,,2007,0.35130018,0.39628652,0.30631387
Southern hemisphere,,2008,0.25959548,0.31092775,0.20826322
Southern hemisphere,,2009,0.48682365,0.53468436,0.43896297
Southern hemisphere,,2010,0.44124317,0.4889419,0.39354444
Southern hemisphere,,2011,0.3500494,0.4004097,0.29968908
Southern hemisphere,,2012,0.3708825,0.42449993,0.3172651
Southern hemisphere,,2013,0.47047654,0.5248982,0.41605493
Southern hemisphere,,2014,0.4379493,0.4920629,0.38383573
Southern hemisphere,,2015,0.5193882,0.56775546,0.47102094
Southern hemisphere,,2016,0.61066127,0.65963167,0.5616908
Southern hemisphere,,2017,0.57495165,0.6236047,0.5262986
Southern hemisphere,,2018,0.56564635,0.6147231,0.5165696
Southern hemisphere,,2019,0.63840175,0.69133675,0.5854668
Southern hemisphere,,2020,0.5699315,0.62211275,0.51775026
Southern hemisphere,,2021,0.44561836,0.4990606,0.39217612
Southern hemisphere,,2022,0.5028088,0.557299,0.4483186
Southern hemisphere,,2023,0.78675944,0.84343266,0.7300862
Southern hemisphere,,2024,0.83982056,0.9589847,0.72065645
